descSucursal,descProyecto,Actividad,tipoRestriccion,fechaRegistro
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,PRELIMINARES GENERALES,Contratos,
BOGOTA ,LYON CIUDAD LA SALLE,T1 ARMADA Y FUNDIDA PILOTES,Otra,
BOGOTA ,LYON CIUDAD LA SALLE,T2 VENTANERIA ALUMINIO FACHADAS PISO 1 A 17,Contratos,
BOGOTA ,LYON CIUDAD LA SALLE,T3 VENTANERIA ALUMINIO FACHADAS PISO 1 A 17,Contratos,
BOGOTA ,LYON 2 CIUDAD LA SALLE,T1 ENCHAPE CABINA BAÑOS PISO 1 A 17,Contratos,
BOGOTA ,LYON CIUDAD LA SALLE,T3 VENTANERIA ALUMINIO FACHADAS PISO 1 A 17,Otra,
BOGOTA ,LOIRA CIUDAD LA SALLE,INICIO DE OBRA,Contratos,
BOGOTA ,LYON 2 CIUDAD LA SALLE,T3 ENCHAPE CABINA BAÑOS PISO 1 A 17,Materiales,
BOGOTA ,URBANISMO EXTERNO SAN RAFAEL,TRAMO POZO ALL 16-23 EXCAVACION DE CAJA,Seguridad y Espacio,
BOGOTA ,LYON 2 CIUDAD LA SALLE,"T1 INST. SANITARIOS, LAVAMANOS Y GRIFERIAS PISO 1 a 17",Materiales,2022-10-25 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,T1 MAMPOSTERIA FACHADA PISOS 1 a 17,Equipos,2022-11-08 00:00:00
BOGOTA ,CADIZ,T2 IMPERM CUB,Contratos,2022-10-25 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T1 PREHUECOS PILOTES HINCADO,Contratos,2022-11-09 00:00:00
BOGOTA ,ABADIA SAN RAFAEL,E1 ESTRUCTURA VIASyPARQUEADEROS,Mano de obra,2022-11-24 00:00:00
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,T1 INSTALACIONES ELECTRICAS,Diseños,2022-11-28 00:00:00
BOGOTA ,PEÑAZUL LA ALDEA,T9 Excavacion cimentacion,Materiales,2022-11-22 00:00:00
BOGOTA ,PEÑAZUL LA ALDEA,T9 Escaleras,Equipos,2022-11-23 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,T1 MAMPOSTERIA FACHADA PISOS 1 a 17,Materiales,2022-11-29 00:00:00
BOGOTA ,LA TERRA ALSACIA RESERVADO,T1 PINTURA FACHADA SOBRE PATIOS INTERIORES,Otra,2022-11-30 00:00:00
BOGOTA ,ABADIA SAN RAFAEL,T8 PUERTA BAÑO,Contratos,2022-11-24 00:00:00
BOGOTA ,PEÑAZUL LA ALDEA,"T9 Prolongaciones hidraulicas, sanitariasygas piso 1-2-3",Materiales,2022-11-23 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,T1 INST. NOMENCLATURA APTOS TORRE,Contratos,2022-11-08 00:00:00
BOGOTA ,SAN LUCAS LA QUINTA,T16 MONTANTE DE GAS,Materiales,2022-12-07 00:00:00
